2020,Aborto, Buenos Aires ,0;
2020,Aborto cometido por profesional, Buenos Aires ,0;
2020,Aborto con consentimiento, Buenos Aires ,0;
2020,Aborto con consentimiento seguido de muerte, Buenos Aires ,2;
"2020,""Aborto de la mujer, propio o consentido"", Buenos Aires ,0";
2020,Aborto preterintencional, Buenos Aires ,1;
2020,Aborto sin consentimiento, Buenos Aires ,0;
2020,Abuso de armas, Buenos Aires ,242;
2020,Agresion con toda arma, Buenos Aires ,44;
2020,Disparo de arma de fuego con herida, Buenos Aires ,6;
2020,Disparo de arma de fuego sin herir, Buenos Aires ,25;
2020,Disparo de arma de fuego y agresion agravada, Buenos Aires ,32;
2020,Disparo de arma de fuego y agresion en estado de emocion violenta, Buenos Aires ,2;
2020,Femicidio, Buenos Aires ,301;
"2020,""Homicidio """"criminis causa"""""", Buenos Aires ,65";
2020,Homicidio calificado, Buenos Aires ,117;
"2020,""Homicidio calificado a miembros de seguridad, policial o penitenciaria"", Buenos Aires ,23";
2020,Homicidio calificado por el vinculo, Buenos Aires ,439;
2020,Homicidio con el proposito de causar sufrimiento a una persona con la que se mantiene o ha mantenido una relacion, Buenos Aires ,2;
"2020,""Homicidio con ensa–amiento, alevosia, insidia"", Buenos Aires ,26";
2020,Homicidio en estado de emocion violenta, Buenos Aires ,2;
2020,Homicidio en estado de emocion violenta calificado, Buenos Aires ,0;
2020,Homicidio en exceso de la legitima defensa, Buenos Aires ,15;
2020,Homicidio en ri–a, Buenos Aires ,18;
2020,Homicidio en ri–a calificado, Buenos Aires ,1;
"2020,""Homicidio por abuso de su funcion o cargo, cuando fuere miembro integrante de la fuerza de seguridad, policiales o del servicio penitenciario"", Buenos Aires ,1";
"2020,""Homicidio por placer, codicia, odio racial o religioso"", Buenos Aires ,3";
2020,Homicidio por precio o promesa remuneratoria, Buenos Aires ,0;
2020,Homicidio premeditado; pluralidad de agentes, Buenos Aires ,24
2020,Homicidio preterintencional, Buenos Aires ,3;
2020,Homicidio preterintencional calificado, Buenos Aires ,0;
2020,Homicidio simple, Buenos Aires ,342;
2020,Infanticidio, Buenos Aires ,1;
2020,Instigacion o ayuda al suicidio, Buenos Aires ,0;
2020,Lesiones en ri–a calificadas, Buenos Aires ,3;
2020,Lesiones graves, Buenos Aires ,376;
2020,Lesiones graves calificadas, Buenos Aires ,139;
2020,Lesiones graves o gravisimas en ri–a, Buenos Aires ,7;
2020,Lesiones gravisimas, Buenos Aires ,11;
2020,Lesiones gravisimas calificadas, Buenos Aires ,2;
2020,Lesiones leves, Buenos Aires ,1102;
2020,Lesiones leves calificadas, Buenos Aires ,1376;
2020,Lesiones leves en ri–a, Buenos Aires ,11;
2020,Omision de auxilio, Buenos Aires ,0;
2020,Abuso sexual, Buenos Aires ,216;
"2020,""Abuso sexual cometido por ascendiente, descendiente, a fin en linea recta, hermano, tutor, curador, ministro de algun culto reconocido o no, encargado de la educacion o de la guarda"", Buenos Aires ,209";
2020,Abuso sexual agravado, Buenos Aires ,15;
2020,Abuso sexual agravado por acceso carnal, Buenos Aires ,291;
2020,Abuso sexual cometido por personal perteneciente a las fuerzas policiales o de seguridad en ocasion de sus funciones, Buenos Aires ,0;
"2020,""Abuso sexual cometido contra un menor de 18 a–os, aprovechando la situacion de convivencia preexistente con el mismo"", Buenos Aires ,222";
"2020,""Abuso sexual cometido por autor que tuviere conocimiento de ser portador de una enfermedad de transmision sexual grave, y hubiere existido peligro de contagio"", Buenos Aires ,0";
"2020,""Abuso sexual cometido por dos o mas personas, o con armas"", Buenos Aires ,12";
2020,Abuso sexual con grave da–o a la salud fisica o mental de la victima, Buenos Aires ,8;
2020,Abuso sexual con sometimiento sexual gravemente ultrajante para la victima, Buenos Aires ,159;
"2020,""Abuso sexual con violencia, amenaza, abuso coactivo o intimidatorio de una relacion de dependencia, de autoridad, o de poder, o aprovechamiento de que la victima por cualquier causa no haya podido consentir libremente la accion"", Buenos Aires ,0";
2020,Abuso sexual seguido de muerte, Buenos Aires ,1;
2020,Estupro, Buenos Aires ,10;
2020,Estupro agravado, Buenos Aires ,0;
2020,Exhibiciones obscenas, Buenos Aires ,33;
2020,Grooming, Buenos Aires ,24;
2020,Promocion o facilitacion de la corrupcion de menores, Buenos Aires ,21;
2020,Promocion o facilitacion de la corrupcion de menores calificada, Buenos Aires ,59;
2020,Promocion o facilitacion de la prostitucion, Buenos Aires ,2;
2020,Promocion o facilitacion de la prostitucion calificada, Buenos Aires ,2;
2020,Promocion y facilitacion de la prostitucion o corrupcion de mayores, Buenos Aires ,6;
2020,Proxenetismo, Buenos Aires ,9;
2020,Proxenetismo agravado, Buenos Aires ,1;
2020,Publicaciones y reproducciones obscenas, Buenos Aires ,21;
2020,Rapto, Buenos Aires ,4;
2020,Rapto calificado, Buenos Aires ,3;
2020,Rapto de menor impuber, Buenos Aires ,1;
2020,Trata de mujeres, Buenos Aires ,1;
2021,Delitos contra las personas (culposos), Buenos Aires ,359;
2021,Delitos contra las personas (dolosos), Buenos Aires ,3436;
2021,Delitos contra el honor, Buenos Aires ,0;
2021,Delitos contra la integridad sexual, Buenos Aires ,1055;
2021,Delitos contra el estado civil, Buenos Aires ,1;
2021,Delitos contra la libertad, Buenos Aires ,3425;
2021,Delitos contra la propiedad, Buenos Aires ,5860;
2021,Delitos contra la seguridad publica, Buenos Aires ,1374;
2021,Delitos contra el orden publico, Buenos Aires ,66;
2021,Delitos contra la seguridad de la Nacion, Buenos Aires ,0;
2021,Delitos contra los poderes publicos y el orden constitucional, Buenos Aires ,0;
2021,Delitos contra la administracion publica, Buenos Aires ,2202;
2021,Delitos contra la fe publica, Buenos Aires ,118;
